instance_id,workload,seed,adapter,variant,adapter_version,backend_mode,run_status,error_category,capability_absent_observed,correctness_included,transaction_state,partial_update_rate,invalid_commit_rate,stale_write_rate,repair_recall,leak_rate,supersession_consistency,scope_bypass_rate,latency,latency_ms,any_violation,violations,committed_count,operation_count,repair_count
supersession_consistency_seed_7,supersession_consistency,7,AppendOnly,AppendOnly,controlled-v1,controlled,success,,true,true,committed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.144652,1,supersession_consistency_violation,0,6,0
supersession_consistency_seed_8,supersession_consistency,8,AppendOnly,AppendOnly,controlled-v1,controlled,success,,true,true,committed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.141802,1,supersession_consistency_violation,0,6,0
supersession_consistency_seed_9,supersession_consistency,9,AppendOnly,AppendOnly,controlled-v1,controlled,success,,true,true,committed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.144777,1,supersession_consistency_violation,0,6,0
provenance_chain_repair_seed_0,provenance_chain_repair,0,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,invalidated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.153106,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_1,provenance_chain_repair,1,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,invalidated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.157138,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_2,provenance_chain_repair,2,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,invalidated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.147768,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_3,provenance_chain_repair,3,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,invalidated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.142823,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_4,provenance_chain_repair,4,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,invalidated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.140667,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_5,provenance_chain_repair,5,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,invalidated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.147588,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_6,provenance_chain_repair,6,AppendOnly,AppendOnly,controlled-v1,controlled,success,,false,true,invalidated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.148626,1,provenance_closure_violation,0,1,0
