instance_id,workload,seed,variant,transaction_state,partial_update_rate,invalid_commit_rate,stale_write_rate,repair_recall,any_violation,violations,committed_count,operation_count,repair_count
revoke_before_commit_seed_2,revoke_before_commit,2,TxnMem-NoTxn,aborted,0.0,0.0,1.0,0.0,1,stale_write_violation,1,4,0
revoke_before_commit_seed_2,revoke_before_commit,2,TxnMem-NoPolicyCommit,committed,0.0,1.0,0.0,0.0,1,invalid_commit_violation,1,4,0
revoke_before_commit_seed_2,revoke_before_commit,2,TxnMem-NoRepair,aborted,0.0,0.0,0.0,0.0,0,,0,4,0
revoke_before_commit_seed_2,revoke_before_commit,2,TxnMem,aborted,0.0,0.0,0.0,0.0,0,,0,4,0
revoke_before_commit_seed_3,revoke_before_commit,3,Naive,committed,0.0,1.0,0.0,0.0,1,invalid_commit_violation,1,4,0
revoke_before_commit_seed_3,revoke_before_commit,3,TxnMem-NoTxn,aborted,0.0,0.0,1.0,0.0,1,stale_write_violation,1,4,0
revoke_before_commit_seed_3,revoke_before_commit,3,TxnMem-NoPolicyCommit,committed,0.0,1.0,0.0,0.0,1,invalid_commit_violation,1,4,0
revoke_before_commit_seed_3,revoke_before_commit,3,TxnMem-NoRepair,aborted,0.0,0.0,0.0,0.0,0,,0,4,0
revoke_before_commit_seed_3,revoke_before_commit,3,TxnMem,aborted,0.0,0.0,0.0,0.0,0,,0,4,0
revoke_before_commit_seed_4,revoke_before_commit,4,Naive,committed,0.0,1.0,0.0,0.0,1,invalid_commit_violation,1,4,0
revoke_before_commit_seed_4,revoke_before_commit,4,TxnMem-NoTxn,aborted,0.0,0.0,1.0,0.0,1,stale_write_violation,1,4,0
revoke_before_commit_seed_4,revoke_before_commit,4,TxnMem-NoPolicyCommit,committed,0.0,1.0,0.0,0.0,1,invalid_commit_violation,1,4,0
revoke_before_commit_seed_4,revoke_before_commit,4,TxnMem-NoRepair,aborted,0.0,0.0,0.0,0.0,0,,0,4,0
revoke_before_commit_seed_4,revoke_before_commit,4,TxnMem,aborted,0.0,0.0,0.0,0.0,0,,0,4,0
revoke_before_commit_seed_5,revoke_before_commit,5,Naive,committed,0.0,1.0,0.0,0.0,1,invalid_commit_violation,1,4,0
revoke_before_commit_seed_5,revoke_before_commit,5,TxnMem-NoTxn,aborted,0.0,0.0,1.0,0.0,1,stale_write_violation,1,4,0
revoke_before_commit_seed_5,revoke_before_commit,5,TxnMem-NoPolicyCommit,committed,0.0,1.0,0.0,0.0,1,invalid_commit_violation,1,4,0
revoke_before_commit_seed_5,revoke_before_commit,5,TxnMem-NoRepair,aborted,0.0,0.0,0.0,0.0,0,,0,4,0
revoke_before_commit_seed_5,revoke_before_commit,5,TxnMem,aborted,0.0,0.0,0.0,0.0,0,,0,4,0
revoke_before_commit_seed_6,revoke_before_commit,6,Naive,committed,0.0,1.0,0.0,0.0,1,invalid_commit_violation,1,4,0
revoke_before_commit_seed_6,revoke_before_commit,6,TxnMem-NoTxn,aborted,0.0,0.0,1.0,0.0,1,stale_write_violation,1,4,0
revoke_before_commit_seed_6,revoke_before_commit,6,TxnMem-NoPolicyCommit,committed,0.0,1.0,0.0,0.0,1,invalid_commit_violation,1,4,0
revoke_before_commit_seed_6,revoke_before_commit,6,TxnMem-NoRepair,aborted,0.0,0.0,0.0,0.0,0,,0,4,0
revoke_before_commit_seed_6,revoke_before_commit,6,TxnMem,aborted,0.0,0.0,0.0,0.0,0,,0,4,0
revoke_before_commit_seed_7,revoke_before_commit,7,Naive,committed,0.0,1.0,0.0,0.0,1,invalid_commit_violation,1,4,0
revoke_before_commit_seed_7,revoke_before_commit,7,TxnMem-NoTxn,aborted,0.0,0.0,1.0,0.0,1,stale_write_violation,1,4,0
revoke_before_commit_seed_7,revoke_before_commit,7,TxnMem-NoPolicyCommit,committed,0.0,1.0,0.0,0.0,1,invalid_commit_violation,1,4,0
revoke_before_commit_seed_7,revoke_before_commit,7,TxnMem-NoRepair,aborted,0.0,0.0,0.0,0.0,0,,0,4,0
revoke_before_commit_seed_7,revoke_before_commit,7,TxnMem,aborted,0.0,0.0,0.0,0.0,0,,0,4,0
revoke_before_commit_seed_8,revoke_before_commit,8,Naive,committed,0.0,1.0,0.0,0.0,1,invalid_commit_violation,1,4,0
revoke_before_commit_seed_8,revoke_before_commit,8,TxnMem-NoTxn,aborted,0.0,0.0,1.0,0.0,1,stale_write_violation,1,4,0
revoke_before_commit_seed_8,revoke_before_commit,8,TxnMem-NoPolicyCommit,committed,0.0,1.0,0.0,0.0,1,invalid_commit_violation,1,4,0
revoke_before_commit_seed_8,revoke_before_commit,8,TxnMem-NoRepair,aborted,0.0,0.0,0.0,0.0,0,,0,4,0
revoke_before_commit_seed_8,revoke_before_commit,8,TxnMem,aborted,0.0,0.0,0.0,0.0,0,,0,4,0
revoke_before_commit_seed_9,revoke_before_commit,9,Naive,committed,0.0,1.0,0.0,0.0,1,invalid_commit_violation,1,4,0
revoke_before_commit_seed_9,revoke_before_commit,9,TxnMem-NoTxn,aborted,0.0,0.0,1.0,0.0,1,stale_write_violation,1,4,0
revoke_before_commit_seed_9,revoke_before_commit,9,TxnMem-NoPolicyCommit,committed,0.0,1.0,0.0,0.0,1,invalid_commit_violation,1,4,0
revoke_before_commit_seed_9,revoke_before_commit,9,TxnMem-NoRepair,aborted,0.0,0.0,0.0,0.0,0,,0,4,0
revoke_before_commit_seed_9,revoke_before_commit,9,TxnMem,aborted,0.0,0.0,0.0,0.0,0,,0,4,0
provenance_chain_repair_seed_0,provenance_chain_repair,0,Naive,invalidated,0.0,0.0,0.0,0.0,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_0,provenance_chain_repair,0,TxnMem-NoTxn,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_0,provenance_chain_repair,0,TxnMem-NoPolicyCommit,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_0,provenance_chain_repair,0,TxnMem-NoRepair,invalidated,0.0,0.0,0.0,0.0,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_0,provenance_chain_repair,0,TxnMem,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_1,provenance_chain_repair,1,Naive,invalidated,0.0,0.0,0.0,0.0,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_1,provenance_chain_repair,1,TxnMem-NoTxn,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_1,provenance_chain_repair,1,TxnMem-NoPolicyCommit,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_1,provenance_chain_repair,1,TxnMem-NoRepair,invalidated,0.0,0.0,0.0,0.0,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_1,provenance_chain_repair,1,TxnMem,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_2,provenance_chain_repair,2,Naive,invalidated,0.0,0.0,0.0,0.0,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_2,provenance_chain_repair,2,TxnMem-NoTxn,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_2,provenance_chain_repair,2,TxnMem-NoPolicyCommit,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_2,provenance_chain_repair,2,TxnMem-NoRepair,invalidated,0.0,0.0,0.0,0.0,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_2,provenance_chain_repair,2,TxnMem,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_3,provenance_chain_repair,3,Naive,invalidated,0.0,0.0,0.0,0.0,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_3,provenance_chain_repair,3,TxnMem-NoTxn,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_3,provenance_chain_repair,3,TxnMem-NoPolicyCommit,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_3,provenance_chain_repair,3,TxnMem-NoRepair,invalidated,0.0,0.0,0.0,0.0,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_3,provenance_chain_repair,3,TxnMem,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_4,provenance_chain_repair,4,Naive,invalidated,0.0,0.0,0.0,0.0,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_4,provenance_chain_repair,4,TxnMem-NoTxn,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_4,provenance_chain_repair,4,TxnMem-NoPolicyCommit,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
provenance_chain_repair_seed_4,provenance_chain_repair,4,TxnMem-NoRepair,invalidated,0.0,0.0,0.0,0.0,1,provenance_closure_violation,0,1,0
provenance_chain_repair_seed_4,provenance_chain_repair,4,TxnMem,repaired,0.0,0.0,0.0,1.0,0,,0,1,2
